City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,tahe,52.3333,124.7333,-11.61,94,13,1.81,CN,1700414372
149,lorengau,-2.0226,147.2712,27.89,82,29,4.97,PG,1700414373
150,saint-joseph,-21.3667,55.6167,22.21,72,31,4.51,RE,1700414089
151,arraial do cabo,-22.9661,-42.0278,24.92,88,100,4.12,BR,1700414373
152,st. john's,47.5649,-52.7093,13.97,96,100,7.2,CA,1700414329
153,vila velha,-20.3297,-40.2925,30.97,72,20,5.66,BR,1700414074
154,tazovsky,67.4667,78.7,-26.21,97,75,4.44,RU,1700414374
155,kuching,1.55,110.3333,27.79,97,20,0.51,MY,1700414275
156,nadi,-17.8,177.4167,22.12,82,72,2.84,FJ,1700414374
157,sittwe,20.15,92.9,25.28,85,38,2.03,MM,1700414375
158,kingston,17.997,-76.7936,31.8,63,20,2.57,JM,1700414375
159,cabo san lucas,22.8909,-109.9124,30.84,68,0,1.34,MX,1700414125
160,myeik,12.4333,98.6,21.98,74,28,2.42,MM,1700414376
161,tromso,69.6496,18.957,-1.99,80,75,6.17,NO,1700414376
162,malango,-2.9627,119.9001,20.75,98,70,0.56,ID,1700414376
163,alice,27.7523,-98.0697,24.76,88,100,6.17,US,1700414377
164,vangaindrano,-23.35,47.6,23.39,84,59,5.18,MG,1700414377
165,dalandzadgad,43.5708,104.425,1.43,26,1,1.88,MN,1700414377
166,swakopmund,-22.6833,14.5333,19.75,62,20,6.5,NA,1700414377
167,usogorsk,63.4106,48.6872,-8.52,94,100,3.66,RU,1700414378
168,merizo village,13.2658,144.6691,26.85,96,95,3.67,GU,1700414378
169,illizi,26.4833,8.4667,23.89,19,0,5.41,DZ,1700414378
170,marica,-22.9194,-42.8186,25.97,85,99,7.0,BR,1700414379
171,kukawa,12.9234,13.5606,25.71,32,99,3.01,NG,1700414379
172,awjilah,29.1081,21.2869,18.28,40,0,4.91,LY,1700414379
173,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.66,GF,1700414164
174,canatlan,24.5167,-104.7833,22.8,29,7,2.49,MX,1700414379
175,saarijarvi,62.7049,25.254,-3.91,98,68,1.28,FI,1700414380
176,humaita,-7.5061,-63.0208,36.63,35,47,2.86,BR,1700414380
177,bychawa,51.0161,22.533,0.92,99,100,4.26,PL,1700414380
178,al muwayh,22.4333,41.7583,23.31,68,71,7.08,SA,1700414381
179,dunedin,-45.8742,170.5036,11.56,82,87,1.79,NZ,1700414381
180,puerto ayacucho,5.6639,-67.6236,33.45,56,40,1.21,VE,1700414381
181,katagum,12.2867,10.3527,28.52,19,100,4.59,NG,1700414381
182,fisterra,42.9049,-9.2629,17.08,91,71,5.45,ES,1700414382
183,verde village,34.7105,-112.0115,15.03,70,7,2.24,US,1700414382
184,lebu,-37.6167,-73.65,15.06,71,49,4.8,CL,1700414382
185,quellon,-43.1167,-73.6167,11.72,91,100,8.18,CL,1700414252
186,lepsy,46.235,78.9456,5.06,72,100,0.34,KZ,1700414382
187,port blair,11.6667,92.75,28.02,74,20,2.06,IN,1700414173
188,baotou,40.6522,109.8222,1.92,34,36,2.38,CN,1700414383
189,gidole,5.65,37.3667,13.97,89,98,1.27,ET,1700414178
190,aasiaat,68.7098,-52.8699,-3.24,77,100,6.73,GL,1700414383
191,sao jose da coroa grande,-8.8978,-35.1478,29.2,64,0,6.53,BR,1700414384
192,lindisfarne,-42.8333,147.35,10.0,91,27,2.06,AU,1700414384
193,kuala kedah,6.1,100.3,25.99,89,20,0.0,MY,1700414384
194,san angelo,31.4638,-100.437,18.36,86,100,5.14,US,1700414179
195,northam,51.0333,-4.2167,13.7,89,70,11.92,GB,1700414385
196,alofi,-19.0595,-169.9187,21.94,88,38,1.54,NU,1700414385
197,debre werk',10.6667,38.1667,17.44,63,78,1.45,ET,1700414385
198,college,64.8569,-147.8028,-11.82,82,100,0.0,US,1700414385
199,crane,31.3974,-102.3501,22.33,38,2,10.91,US,1700414386
200,kupang,-10.1667,123.5833,27.32,89,97,0.51,ID,1700414386
201,pasighat,28.0667,95.3333,19.67,77,0,1.47,IN,1700414386
202,vadso,70.0744,29.7487,-6.91,86,20,4.63,NO,1700414386
203,golfito,8.639,-83.166,26.47,89,99,1.35,CR,1700414387
204,nova vicosa,-17.8919,-39.3719,30.13,62,39,8.73,BR,1700414387
205,katsina-ala,7.1667,9.2833,29.5,30,89,0.82,NG,1700414387
206,ancud,-41.8697,-73.8203,11.79,94,100,8.79,CL,1700414387
207,wani,20.0667,78.95,22.68,55,10,1.68,IN,1700414387
